name,country,potential_gtco2,fuel_type,id,gem_source,latitude,longitude,source_for_lat_long,operators,parent_company,companies,start_year,multiple_unit,world_region,status_cb,status_gem,status_lvl_1,status_lvl_2
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,1.660265695,Oil&Gas,OG0012912,https://www.gem.wiki/Azeri-Chirag-Guneshli_(ACG)_Deepwater_Oil_and_Gas_Complex_(Azerbaijan),40.21967,51.09767,GEM,Azerbaijan International Operating Company (AIOC),Azerbaijan (OCC) Limited (11.6%);BP P.L.C. (35.8%);Equinor ASA (8.6%);INPEX Corporation (11.0%);Others (33.0%),Azerbaijan (OCC) Limited (11.6%);BP PLC (35.8%);Equinor ASA (8.6%);Inpex Corp (11.0%);Others (33.0%),No start year available,Azeri-Chirag-Guneshli (ACG) Deepwater,Asia,operating,operating,operating,operating
Abqaiq,Saudi Arabia,1.59282777,Oil&Gas,OG0014119,https://www.gem.wiki/Abqaiq_Oil_Field_(Saudi_Arabia),26.1687,49.7841,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Arabian Oil Company (Saudi Aramco) (100.0%),1946,Abqaiq,Asia,operating,operating,operating,operating
Afşin-Elbistan Coal Mine,Türkiye,4.08646,Coal,M0955,https://www.gem.wiki/Afşin-Elbistan_coal_mines,38.340685,37.082979,GEM,Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş,"Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ) (100.0%)",Electricity Generating PCL (100.0%),1984,Afşin-Elbistan Coal Mines,Asia,operating,operating,operating,operating
Agha Jari,Iran,1.563110231,Oil&Gas,OG0012187,https://www.gem.wiki/Aghajari_Oil_Field_(Iran),30.8312,49.7596,GEM,National Iranian South Oil Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1939,Aghajari,Asia,operating,operating,operating,operating
Ahwaz Asmari,Iran,2.238284406,Oil&Gas,OG0012129,https://www.gem.wiki/Ahvaz-Asmari_Oil_Field_(Iran),31.30713343367864,48.81950446517341,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1954,Ahvaz-Asmari,Asia,operating,operating,operating,operating
Ahwaz Bangestan,Iran,1.433911709,Oil&Gas,OG0012143,https://www.gem.wiki/Ahvaz-Bangestan_Oil_Field_(Iran),31.275163815670638,48.877207702550194,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1954,Ahvaz-Bangestan,Asia,operating,operating,operating,operating
Al Khaleej Gas project,Qatar,1.135307349,Oil&Gas,OG0012459,https://www.gem.wiki/Al_Khalij_Oil_and_Gas_Field_(Qatar),25.92298,52.69973,GEM,TotalEnergies E&P-Qatar,TotalEnergies (40.0%);QatarEnergy (60.0%),TotalEnergies SE (40.0%);QatarEnergy (60.0%),1997,Al Khalij,Asia,operating,operating,operating,operating
Alpha North Coal Mine,Australia,2.542806,Coal,M2491,https://www.gem.wiki/Alpha_West_coal_project,-23.115171,146.332751,GEM,GVK Hancock,GVK Group (100.0%),GVK Group (100.0%),No start year available,Alpha West Coal Project,Oceania,not started,cancelled,cancelled,stopped
Anadarko Shelf_Oklahoma,United States,1.817826072,Oil&Gas,No informations available on GEM,No informations available on GEM,31.7908,-103.4136,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,North America,operating,None,operating,operating
Angren Coal Mine,Uzbekistan,2.4038,Coal,M1083,https://www.gem.wiki/Angren_coal_mine,41.036101,70.180128,GEM,Uzbekugol,Ministry of Finance of Uzbekistan (100.0%),Ministry of Finance of Uzbekistan (100.0%),1948,Angren Coal Mine,Asia,not started,operating,operating,operating
Anjialing Open-Pit Mine,China,1.04461104,Coal,M0165,https://www.gem.wiki/Anjialing_open-pit_mine,39.449488,112.360569,GEM,China Coal Pingshuo Group,China Coal (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),China Coal Xinji Energy Co Ltd (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),2006,Anjialing Open-Pit Mine,Asia,operating,operating,operating,operating
Antaibao Surface Mine,China,1.19837388,Coal,M0166,https://www.gem.wiki/Antaibao_open-pit_mine,39.474754,112.311939,GEM,China Coal Pingshuo Group,China Coal (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),China Coal Xinji Energy Co Ltd (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),1987,Antaibao Surface Mine,Asia,operating,operating,operating,operating
Arctic LNG 2 T1-3,Russia,1.475579089,Oil&Gas,No informations available on GEM,No informations available on GEM,69.7,65.0,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,Europe,not started,None,not started,not started
Area 1 LNG (T1&T2),Mozambique,1.006654597,Oil&Gas,OG0017497,https://www.gem.wiki/Area_4_Gas_Block_(Mozambique),-10.9158,41.1154,GEM,Mozambique Rovuma Venture,No informations on company (100.0%),Mozambique Rovuma Venture (100.0%),No start year available,Area 4,Africa,not started,operating,operating,operating
Area-1 Future Phases,Mozambique,1.022724356,Oil&Gas,OG0017496,https://www.gem.wiki/Area_1_Gas_Block_(Mozambique),-10.9704,40.8465,GEM,TotalEnergies,No informations on company (100.0%),TotalEnergies SE (100.0%),2023 (expected),Area 1,Africa,not started,in development,in development,not started
Arshanovsky Coal Mine,Russia,1.708476,Coal,M0771,https://www.gem.wiki/Arshanovsky_coal_mine,53.398991,91.095886,GEM,Razrez Arshanovsky,Rutek Alliance (100.0%),Rutek Alliance (100.0%),2015,Arshanovsky Coal Mine,Europe,operating,operating,operating,operating
Asab,United Arab Emirates,1.373231334,Oil&Gas,OG0012265,https://www.gem.wiki/Bu_HasaShahAsab_Oil_and_Gas_Concession_(United_Arab_Emirates),23.6139909852162,53.26762735057041,GEM,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,Bu Hasa/Shah/Asab,Asia,operating,operating,operating,operating
