Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
China Energy,China Energy Investment,"71,92315",China Energy Investment,,Personne 1,1,https://fr.wikipedia.org/wiki/China_Energy_Investment,
Others,,"27,50396525",,,Personne 1,1,,
China Coal,China National Coal Group,"21,70979",China National Coal Group,,Personne 1,1,,
Adani Group,Adani Power,"20,488",Adani Power,,Personne 1,1,,
Erdenes MGL,,"19,743",,,Personne 1,1,,Mongolian government owned company
Shaanxi Coal and Chemical Industry Group,Shaanxi Coal & Chemical Industry Group,"15,417582",Shaanxi Coal & Chemical Industry Group,3,Personne 1,1,,
Jinneng Group,Shanxi State-owned Capital Investment Operation,"14,3188792",Shanxi State-owned Capital Investment Operation,,Personne 1,1,https://www.gem.wiki/Muguajie_Gangue_power_station,Jinneng holding group co et pas jinneng group
AEON Corporation,Aeon,"0,589",,,Personne 1,1,,
AGL Energy,AGL Energy,"3,051",,,Personne 1,1,,
Valiant Resources,,"14,274",,,Personne 1,1,https://www.gem.wiki/Hutton_Coal_Mine,
Shanxi Coking Coal Group,Shanxi Coking Coal Energy Group,"13,8877868",Shanxi Coking Coal Energy Group,,Personne 1,1,,
-,,"9,532",,,Personne 1,1,,
HD Mining International Ltd,,"8,484",,,Personne 1,1,https://www.gem.wiki/Murray_River_Coal_Mine,owned by canadian Dehua mais introuvable
Guizhou Panjiang Coal and Electricity Group,,"8,45812",,,Personne 1,1,https://en.wikipedia.org/wiki/Panjiang_Investment_Holdings,
Alliance Resource Partners,Alliance Resource Partners,"2,299",,,Personne 1,1,,
Alpha Metallurgical Resources Inc,Alpha Metallurgical Resources,"0,019",,,Personne 1,1,,
Aluminum Corporation of China,Aluminum of China,"0,1776161",,,Personne 1,1,,
Siberian Coal Energy Company JSC,SUEK AO,"8,077",SUEK AO,2,Personne 1,1,https://en.wikipedia.org/wiki/Siberian_Coal_Energy_Company,
Mineralogy,,"7,992",,,Personne 1,1,https://en.wikipedia.org/wiki/Mineralogy_(mining_company),
Anglo American,Anglo American,"1,974",,3,Personne 1,1,,
HKSCC Nominees Limited,,"7,390886",,,Personne 1,1,https://fr.wikipedia.org/wiki/Hong_Kong_Exchanges_and_Clearing,détenu par HKEX (Hong Kong Exchanges and Clearing Limited)
PT Bukit Asam Tbk,Republic of Indonesia,"7,366",Republic of Indonesia,1,Personne 1,1,https://www.gem.wiki/Bangko_Tengah_power_station,"détenu d'après GEM par PT Indonesia Asahan
Aluminium"
Ningxia State-Owned Capital Operation Group,,"7,33383",,,Personne 1,1,https://www.gem.wiki/%E5%9B%BD%E5%AE%B6%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E5%AE%81%E5%A4%8F%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%BA%A6%E5%9E%9B%E5%B1%B1%E7%85%A4%E7%9F%BF,"The people's
Government of the
Ningxia Hui
Autonomous Region"
