,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
0,False,ACG (Azeri-Chirag-Guneshli Deep Water),Limited,35.8,1.660265695,0.5943751188099999,,
1,False,ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,11.6,1.660265695,0.19259082062000002,Azerbaijan,Azerbaijan
2,False,ACG (Azeri-Chirag-Guneshli Deep Water),BP P.L.C.,8.6,1.660265695,0.14278284977,BP P.L.C.,United Kingdom
3,False,ACG (Azeri-Chirag-Guneshli Deep Water),Equinor ASA,11.0,1.660265695,0.18262922645,Equinor ASA,Norway
4,False,ACG (Azeri-Chirag-Guneshli Deep Water),Others,33.0,1.660265695,0.54788767935,,
5,False,Abqaiq,No informations on company,100.0,1.59282777,1.5928277700000002,,
6,False,Afşin-Elbistan Coal Mine,Euas Electricity Generation Company,100.0,4.08646,4.08646,Euas Electricity Generation Company,Turkey
7,False,Agha Jari,National Iranian Oil Company,100.0,1.563110231,1.563110231,National Iranian Oil Company,"Iran, Islamic Republic of"
8,False,Ahwaz Asmari,National Iranian Oil Company,100.0,2.238284406,2.238284406,National Iranian Oil Company,"Iran, Islamic Republic of"
9,False,Ahwaz Bangestan,National Iranian Oil Company,100.0,1.433911709,1.433911709,National Iranian Oil Company,"Iran, Islamic Republic of"
10,False,Al Khaleej Gas project,QatarEnergy,60.0,1.135307349,0.6811844094,QatarEnergy,Qatar
11,False,Al Khaleej Gas project,TotalEnergies SE,40.0,1.135307349,0.4541229396,TotalEnergies SE,France
12,True,Alpha North Coal Mine,GVK Group,100.0,2.542806,2.542806,GVK Group,India
13,False,Anadarko Shelf_Oklahoma,No informations on company,100.0,1.817826072,1.817826072,,
14,True,Angren Coal Mine,Ministry of Finance of Uzbekistan,100.0,2.4038,2.4038,Ministry of Finance of Uzbekistan,Uzbekistan
15,False,Anjialing Open-Pit Mine,HKSCC Nominees Limited,30.0,1.04461104,0.31338331199999997,HKSCC Nominees Limited,Hong Kong
16,False,Anjialing Open-Pit Mine,Others,13.0,1.04461104,0.13579943519999998,,
17,False,Anjialing Open-Pit Mine,China Coal Xinji Energy Co Ltd,57.0,1.04461104,0.5954282928,China Coal Xinji Energy Co Ltd,China
18,False,Antaibao Surface Mine,HKSCC Nominees Limited,30.0,1.19837388,0.359512164,HKSCC Nominees Limited,Hong Kong
19,False,Antaibao Surface Mine,Others,13.0,1.19837388,0.15578860439999997,,
20,False,Antaibao Surface Mine,China Coal Xinji Energy Co Ltd,57.0,1.19837388,0.6830731116,China Coal Xinji Energy Co Ltd,China
21,True,Arctic LNG 2 T1-3,New project,100.0,1.475579089,1.475579089,,
