Project Name;In Paper;In GEM;GEM > 1Gt;Country_gem;Country_paper;year;Project_status_gem;Project_status_paper;Coal_Type_gem;Coal_Type_paper;Reserves (Million tons)_gem;Reserves (Million tons)_paper;total_emissions_gem;total_emissions_paper;details;Source_paper
Aduunchuluun Coal Mine;False;True;True;Mongolia;;1955;Operating;;Anthracite;;424.0;;1.113;;[Current - Anthracite - 1.113];
Afşin-Elbistan Coal Mines;True;True;True;Türkiye;Turkey;1979;Operating;Operating;Lignite;Lignite;2652.0;3400.0;4.328;4.08646;[Current - Lignite - 3.187][Expansion - Lignite - 1.141];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Alpha Coal Project;False;True;True;Australia;;;Cancelled;;Subbituminous;;821.0;;1.491;;[New - Subbituminous - 1.491];
Alpha North Coal Mine;True;False;False;;Australia;;;Proposed;;Subbituminous;;1400.0;;2.542806;;Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Alpha West Coal Project;False;True;True;Australia;;;Cancelled;;Subbituminous;;1800.0;;3.269;;[New - Subbituminous - 3.269];
Amaam Coal Mine;False;True;True;Russia;;;Shelved;;Bituminous (Met);;521.0;;1.39;;[New - Bituminous (Met) - 1.39];
Angren Coal Mine;True;True;False;Uzbekistan;Uzbekistan;1948;Operating;Proposed;Lignite;Lignite;700.0;2000.0;0.841;2.4038;[Current - Lignite - 0.841][Expansion - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Anjialing Open-Pit Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Bituminous;428.0;428.0;1.045;1.04461104;[Current - Bituminous - 1.045];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Antaibao Surface Mine;True;True;True;China;China;1987;Operating;Operating;Bituminous;Bituminous;491.0;491.0;1.198;1.19837388;[Current - Bituminous - 1.198];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Arshanovsky Coal Mine;True;True;True;Russia;Russian Federation;2015;Operating;Operating;Subbituminous;Bituminous;903.0;700.0;1.64;1.708476;[Current - Subbituminous - 1.64][Current - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
BIB Coal Mine;True;False;False;;Indonesia;;;Operating;;Subbituminous;;591.0;;1.07342739;;Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Ba Leng Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;741.0;438.96;1.809;1.071360893;[New - Bituminous - 1.809];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baijia Haizi Coal Mine;True;True;True;China;China;2025;Proposed;Proposed;Bituminous;Bituminous;2033.0;2032.9;4.962;4.961658372;[New - Bituminous - 4.962];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baishihu Surface Mine;True;True;True;China;China;2017;Operating;Operating;Bituminous;Bituminous;459.0;530.0;1.12;1.2935604;[Expansion - Bituminous - 1.12];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baitarni West Coal Mine;False;True;True;India;;;Proposed;;Subbituminous;;1097.0;;1.992;;[New - Subbituminous - 1.992];
Baiyanghe Coal Mine;True;True;True;China;China;2024;Proposed;Proposed;Bituminous;Bituminous;504.0;508.0;1.23;1.23986544;[New - Bituminous - 1.23];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baiyinhua No.3 Surface Mine;True;True;False;China;China;2007;Operating;Operating;Lignite;Lignite;767.0;1314.0;0.922;1.5792966;[Current - Lignite - 0.922];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Balaram Coal Mine;True;True;False;India;India;1991;Operating;Proposed;Subbituminous;Subbituminous;67.0;756.0;0.122;1.37311524;[Current - Subbituminous - 0.122][Expansion - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Balasu Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;2263.0;2622.7;5.523;6.401171436;[New - Bituminous - 5.523];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Banai & Bhalumuda Coal Mine;False;True;True;India;;;Cancelled;;Subbituminous;;1376.0;;2.499;;[New - Subbituminous - 2.499];
Banhardih Coal Mine;True;True;True;India;India;;Proposed;Proposed;Lignite;n/d;1372.0;553.0;1.649;1.106;[New - Lignite - 1.649];http://www.coalcontroller.gov.in/writereaddata/files/download/coaldirectory/CoalDirectory2018-19.pdf
Bankui;True;False;False;;India;;;Proposed;;n/d;;800.0;;1.6;;http://www.coalcontroller.gov.in/writereaddata/files/download/coaldirectory/CoalDirectory2016-17.pdf
Baode Coal Mine;True;True;True;China;China;2002;Operating;Operating;Bituminous;Bituminous;680.0;679.5;3.065;1.65844206;[Expansion - Bituminous - 1.406][Current - Bituminous - 1.66];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baoqing Chaoyang Surface Coal Mine;False;True;True;China;;2020;Operating;;Lignite;;837.0;;1.006;;[New - Lignite - 1.006];
Bayangol Coal Mine;False;True;True;China;;2018;Operating;;Bituminous;;636.0;;1.552;;[Current - Bituminous - 1.552];
Beisky-Zapadniy Coal Mine;True;True;True;Russia;Russian Federation;2023;Operating;Proposed;Subbituminous;Subbituminous;1134.0;1340.0;2.06;2.4338286;[New - Subbituminous - 2.06];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Berenice-Cygnus Coal Mine;True;True;True;South Africa;South Africa;;Proposed;Proposed;Bituminous (Met);Bituminous (Met);402.0;402.0;1.073;1.07242344;[New - Bituminous (Met) - 1.073];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Berezovsky 1 Coal Mine;False;True;True;Russia;;1975;Operating;;Lignite;;3363.0;;4.042;;[Current - Lignite - 4.042];
