,bank,company,2021,2022,2023,2024,company_gogel_id
130,HSBC,Abu Dhabi National Oil Company (ADNOC),400.0,,22.0,427.0,100012
455,JPMorgan Chase,Antero Resources Corporation,397.0,,,244.0,100040
456,Citigroup,Antero Resources Corporation,268.0,,,106.0,100040
457,Bank of America,Antero Resources Corporation,168.0,,,106.0,100040
458,Mizuho Financial,Antero Resources Corporation,104.0,,,106.0,100040
459,Wells Fargo,Antero Resources Corporation,397.0,,,244.0,100040
460,Royal Bank of Canada,Antero Resources Corporation,268.0,,,106.0,100040
461,SMBC Group,Antero Resources Corporation,17.0,,,106.0,100040
462,Barclays,Antero Resources Corporation,268.0,,,106.0,100040
464,CIBC,Antero Resources Corporation,120.0,250.0,,106.0,100040
465,Truist Financial,Antero Resources Corporation,220.0,250.0,,106.0,100040
466,PNC Financial Services,Antero Resources Corporation,,,,106.0,100040
467,Crédit Agricole,Antero Resources Corporation,164.0,,,,100040
468,UBS,Antero Resources Corporation,17.0,,,,100040
469,US Bancorp,Antero Resources Corporation,17.0,,,106.0,100040
470,Capital One Financial,Antero Resources Corporation,17.0,,,,100040
591,Bank of America,Chesapeake Energy Corporation,1266.0,449.0,,351.0,100046
594,Wells Fargo,Chesapeake Energy Corporation,1327.0,449.0,,303.0,100046
595,Royal Bank of Canada,Chesapeake Energy Corporation,1130.0,449.0,,293.0,100046
597,Barclays,Chesapeake Energy Corporation,213.0,,,,100046
604,Truist Financial,Chesapeake Energy Corporation,317.0,449.0,,293.0,100046
605,PNC Financial Services,Chesapeake Energy Corporation,384.0,449.0,,303.0,100046
690,JPMorgan Chase,Hess Corporation,265.0,265.0,,,100062
691,Citigroup,Hess Corporation,265.0,265.0,,,100062
692,Bank of America,Hess Corporation,105.0,104.0,,,100062
693,Mitsubishi UFJ Financial,Hess Corporation,265.0,265.0,,,100062
694,Mizuho Financial,Hess Corporation,265.0,265.0,,,100062
695,Wells Fargo,Hess Corporation,166.0,165.0,,,100062
696,SMBC Group,Hess Corporation,265.0,265.0,,,100062
697,Scotiabank,Hess Corporation,166.0,165.0,,,100062
698,Toronto-Dominion Bank,Hess Corporation,166.0,165.0,,,100062
699,Goldman Sachs,Hess Corporation,265.0,265.0,,,100062
700,Morgan Stanley,Hess Corporation,265.0,265.0,,,100062
701,Bank of China,Hess Corporation,62.0,62.0,,,100062
702,BNP Paribas,Hess Corporation,166.0,,,,100062
703,Truist Financial,Hess Corporation,166.0,165.0,,,100062
704,Crédit Agricole,Hess Corporation,105.0,,,,100062
705,US Bancorp,Hess Corporation,105.0,104.0,,,100062
707,Banco Bilbao Vizcaya Argentaria (BBVA),Hess Corporation,105.0,104.0,,,100062
731,China Merchants Bank,Shaanxi Yanchang Petroleum (Group) Co Ltd,484.0,304.0,377.0,322.0,100072
732,China Merchants Bank,Shaanxi Yanchang Petroleum (Group) Co Ltd,76.0,62.0,29.0,204.0,100072
735,Shanghai Pudong Development Bank,Shaanxi Yanchang Petroleum (Group) Co Ltd,829.0,109.0,,53.0,100072
736,Shanghai Pudong Development Bank,Shaanxi Yanchang Petroleum (Group) Co Ltd,,62.0,29.0,,100072
866,JPMorgan Chase,Murphy Oil Corporation,66.0,110.0,,294.0,100100
867,Bank of America,Murphy Oil Corporation,138.0,110.0,,231.0,100100
869,Wells Fargo,Murphy Oil Corporation,50.0,,,,100100
1155,JPMorgan Chase,NGP Energy Capital Management LLC,,,295.0,,101016
1156,Citigroup,NGP Energy Capital Management LLC,,,5.0,,101016
1157,Bank of America,NGP Energy Capital Management LLC,,,5.0,,101016
1159,Wells Fargo,NGP Energy Capital Management LLC,,,5.0,,101016
1160,Royal Bank of Canada,NGP Energy Capital Management LLC,,,5.0,,101016
1161,Truist Financial,NGP Energy Capital Management LLC,,,5.0,,101016
